date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-05-31,2017-06-01 00:00:00,bitstamp,btc_eur,1996.72,2029.99,-1.6389243297,2005.5,2005.56,1950,2063.73,2314.50075017,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,bitflyer,btc_jpy,267098,269649,-0.9460446729,267124,267267,267124,267267,70922.8801118,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,korbit,btc_krw,3003500,3140000,-4.347133758,3003500,3004000,3002000,3209500,6109.75287236,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,bitstamp,btc_usd,2237.4,2239.37,-0.0879711705,2233.09,2237.4,2154.28,2293.46,13681.28201704,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,okcoin,btc_usd,2318.82,2228.7,4.0436128685,2319.4,2319.99,2129.78,2318.82,4241.641516,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,korbit,etc_krw,22740,23150,-1.7710583153,22700,22730,21000,25500,855853.3698863921,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,bitflyer,eth_btc,0.1034,0.08855,16.7701863354,0.10315,0.1034,0.10315,0.1034,21670.5669986,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,korbit,eth_krw,311800,274500,13.5883424408,311800,311950,272500,336000,327416.9492688361,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,bitflyer,fx_btc_jpy,266600,275066,-3.0778067809,266276,266640,266276,266640,70921.7270955,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:00:00,okcoin,ltc_usd,25.42,24.931,1.9614135013,25.364,25.42,23.2,25.514,171028.35,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:01:00,korbit,etc_krw,22740,23010,-1.1734028683,22700,22730,21000,25500,855853.3698863921,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-05-31,2017-06-01 00:01:00,korbit,eth_krw,311900,272500,14.4587155963,311900,311950,273000,336000,326531.2428373748,2017-05-31 15:00:36,2017-05-31 15:00:36
2017-06-01,2017-06-01 00:01:00,bitstamp,btc_eur,2005.56,2013.41,-0.3898858156,2005.56,2006.01,1950,2063.73,2317.2196539,2017-05-31 15:00:36,2017-05-31 15:00:36
2017-06-01,2017-06-01 00:01:00,bitflyer,btc_jpy,268271,269440,-0.4338628266,268271,268300,268271,268300,71179.5208492,2017-05-31 15:00:36,2017-05-31 15:00:36
2017-06-01,2017-06-01 00:01:00,korbit,btc_krw,3003500,3140000,-4.347133758,3003500,3004000,3002000,3209500,6116.84208201,2017-05-31 15:00:36,2017-05-31 15:00:36
